Question,Answer,Category,Difficulty
Explain the concept of encryption. (Q288),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is overfitting in machine learning? (Q289),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is HTML? (Q290),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q291),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a web framework? (Q292),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is machine learning? (Q293),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain normalization in databases. (Q294),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Explain normalization in databases. (Q295),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is HTML? (Q296),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is overfitting in machine learning? (Q297),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between a compiler and an interpreter? (Q298),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain the concept of recursion. (Q299),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain normalization in databases. (Q300),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is SQL used for? (Q301),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a web framework? (Q302),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the use of CSS? (Q303),CSS is used to style and layout web pages.,General,Easy
Explain the concept of encryption. (Q304),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Explain the concept of encryption. (Q305),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is phishing? (Q306),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain polymorphism in OOP. (Q307),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is object-oriented programming? (Q308),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a primary key in a database? (Q309),A primary key uniquely identifies each record in a table.,General,Easy
What is artificial intelligence? (Q310),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a brute force attack? (Q311),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a web framework? (Q312),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
